chrom,chromStart,chromEnd,name,gieStain
chr1,180300000,185800000,q25.3,gneg
chr1,185800000,190800000,q31.1,gpos100
chr1,190800000,193800000,q31.2,gneg
chr1,193800000,198700000,q31.3,gpos100
chr1,198700000,207200000,q32.1,gneg
chr1,207200000,211500000,q32.2,gpos25
chr1,211500000,214500000,q32.3,gneg
chr1,214500000,224100000,q41,gpos100
chr1,224100000,224600000,q42.11,gneg
chr1,224600000,227000000,q42.12,gpos25
chr1,227000000,230700000,q42.13,gneg
chr1,230700000,234700000,q42.2,gpos50
chr1,234700000,236600000,q42.3,gneg
chr1,236600000,243700000,q43,gpos75
chr1,243700000,249250621,q44,gneg
chr2,0,4400000,p25.3,gneg
chr2,4400000,7100000,p25.2,gpos50
chr2,7100000,12200000,p25.1,gneg
chr2,12200000,16700000,p24.3,gpos75
chr2,16700000,19200000,p24.2,gneg
chr2,19200000,24000000,p24.1,gpos75
chr2,24000000,27900000,p23.3,gneg
chr2,27900000,30000000,p23.2,gpos25
chr2,30000000,32100000,p23.1,gneg
chr2,32100000,36600000,p22.3,gpos75
chr2,36600000,38600000,p22.2,gneg
chr2,38600000,41800000,p22.1,gpos50
chr2,41800000,47800000,p21,gneg
chr2,47800000,52900000,p16.3,gpos100
chr2,52900000,55000000,p16.2,gneg
chr2,55000000,61300000,p16.1,gpos100
chr2,61300000,64100000,p15,gneg
chr2,64100000,68600000,p14,gpos50
chr2,68600000,71500000,p13.3,gneg
chr2,71500000,73500000,p13.2,gpos50
chr2,73500000,75000000,p13.1,gneg
chr2,75000000,83300000,p12,gpos100
chr2,83300000,90500000,p11.2,gneg
chr2,90500000,93300000,p11.1,acen
chr2,93300000,96800000,q11.1,acen
chr2,96800000,102700000,q11.2,gneg
chr2,102700000,106000000,q12.1,gpos50
chr2,106000000,107500000,q12.2,gneg
chr2,107500000,110200000,q12.3,gpos25
chr2,110200000,114400000,q13,gneg
chr2,114400000,118800000,q14.1,gpos50
chr2,118800000,122400000,q14.2,gneg
chr2,122400000,129900000,q14.3,gpos50
chr2,129900000,132500000,q21.1,gneg
chr2,132500000,135100000,q21.2,gpos25
chr2,135100000,136800000,q21.3,gneg
chr2,136800000,142200000,q22.1,gpos100
chr2,142200000,144100000,q22.2,gneg
chr2,144100000,148700000,q22.3,gpos100
chr2,148700000,149900000,q23.1,gneg
chr2,149900000,150500000,q23.2,gpos25
chr2,150500000,154900000,q23.3,gneg
chr2,154900000,159800000,q24.1,gpos75
chr2,159800000,163700000,q24.2,gneg
chr2,163700000,169700000,q24.3,gpos75
chr2,169700000,178000000,q31.1,gneg
chr2,178000000,180600000,q31.2,gpos50
chr2,180600000,183000000,q31.3,gneg
chr2,183000000,189400000,q32.1,gpos75
chr2,189400000,191900000,q32.2,gneg
chr2,191900000,197400000,q32.3,gpos75
chr2,197400000,203300000,q33.1,gneg
chr2,203300000,204900000,q33.2,gpos50
chr2,204900000,209000000,q33.3,gneg
chr2,209000000,215300000,q34,gpos100
chr2,215300000,221500000,q35,gneg
chr2,221500000,225200000,q36.1,gpos75
chr2,225200000,226100000,q36.2,gneg
chr2,226100000,231000000,q36.3,gpos100
chr2,231000000,235600000,q37.1,gneg
chr2,235600000,237300000,q37.2,gpos50
chr2,237300000,243199373,q37.3,gneg
chr3,0,2800000,p26.3,gpos50
chr3,2800000,4000000,p26.2,gneg
chr3,4000000,8700000,p26.1,gpos50
chr3,8700000,11800000,p25.3,gneg
chr3,11800000,13300000,p25.2,gpos25
chr3,13300000,16400000,p25.1,gneg
chr3,16400000,23900000,p24.3,gpos100
chr3,23900000,26400000,p24.2,gneg
chr3,26400000,30900000,p24.1,gpos75
chr3,30900000,32100000,p23,gneg
chr3,32100000,36500000,p22.3,gpos50
chr3,36500000,39400000,p22.2,gneg
chr3,39400000,43700000,p22.1,gpos75
chr3,43700000,44100000,p21.33,gneg
chr3,44100000,44200000,p21.32,gpos50
chr3,44200000,50600000,p21.31,gneg
chr3,50600000,52300000,p21.2,gpos25
chr3,52300000,54400000,p21.1,gneg
chr3,54400000,58600000,p14.3,gpos50
chr3,58600000,63700000,p14.2,gneg
chr3,63700000,69800000,p14.1,gpos50
chr3,69800000,74200000,p13,gneg
chr3,74200000,79800000,p12.3,gpos75
chr3,79800000,83500000,p12.2,gneg
chr3,83500000,87200000,p12.1,gpos75
chr3,87200000,87900000,p11.2,gneg
chr3,87900000,91000000,p11.1,acen
chr3,91000000,93900000,q11.1,acen
chr3,93900000,98300000,q11.2,gvar
chr3,98300000,100000000,q12.1,gneg
chr3,100000000,100900000,q12.2,gpos25
chr3,100900000,102800000,q12.3,gneg
chr3,102800000,106200000,q13.11,gpos75
chr3,106200000,107900000,q13.12,gneg
chr3,107900000,111300000,q13.13,gpos50
chr3,111300000,113500000,q13.2,gneg
chr3,113500000,117300000,q13.31,gpos75
chr3,117300000,119000000,q13.32,gneg
chr3,119000000,121900000,q13.33,gpos75
chr3,121900000,123800000,q21.1,gneg
chr3,123800000,125800000,q21.2,gpos25
chr3,125800000,129200000,q21.3,gneg
chr3,129200000,133700000,q22.1,gpos25
chr3,133700000,135700000,q22.2,gneg
chr3,135700000,138700000,q22.3,gpos25
chr3,138700000,142800000,q23,gneg
chr3,142800000,148900000,q24,gpos100
chr3,148900000,152100000,q25.1,gneg
chr3,152100000,155000000,q25.2,gpos50
chr3,155000000,157000000,q25.31,gneg
chr3,157000000,159000000,q25.32,gpos50
chr3,159000000,160700000,q25.33,gneg
chr3,160700000,167600000,q26.1,gpos100
chr3,167600000,170900000,q26.2,gneg
chr3,170900000,175700000,q26.31,gpos75
chr3,175700000,179000000,q26.32,gneg
chr3,179000000,182700000,q26.33,gpos75
chr3,182700000,184500000,q27.1,gneg
chr3,184500000,186000000,q27.2,gpos25
chr3,186000000,187900000,q27.3,gneg
chr3,187900000,192300000,q28,gpos75
chr3,192300000,198022430,q29,gneg
