chr,start,end
chr1,196738612,196801643
chr2,34699316,34736501
chr2,52754717,52781314
chr2,89133113,89455863
chr2,135068008,135094416
chr2,189567945,189579317
chr3,4121224,4222568
chr3,46801806,46849577
chr3,125712259,125722320
chr3,126737269,126885105
chr3,129761125,129806040
chr3,162513138,162625983
chr3,195416642,195442570
chr4,21371992,21388664
chr4,64697458,64708246
chr4,70123499,70239977
chr4,186430502,186447570
chr5,725195,825641
chr5,17476018,17515789
chr5,180378877,180418091
chr6,32449524,32527272
chr6,77016889,77027294
chr6,78962582,79035173
chr6,103737965,103762049
chr7,6122674,6148772
chr7,7757056,7770203
chr7,57065349,57185645
chr7,141693776,141711905
chr7,143911613,144040905
chr7,157729549,157740473
chr8,2247147,2259346
chr8,24974432,24991813
chr9,44255875,44855725
chr10,22895741,22924701
chr10,56947725,56996718
chr10,123862905,123911345
chr10,135203445,135229856
chr10,135357403,135506692
chr11,25706955,25718969
chr12,11512481,11552770
chr12,132647371,132887378
chr13,38076256,38115110
chr13,57758259,57776557
chr13,62015571,62038926
chr14,106251072,106706125
chr15,21142172,21302204
chr15,56790692,56800965
chr16,63904695,64331503
chr16,77800463,77841030
chr16,78574677,78591884
chr17,34455577,34629684
chr18,39937482,39949481
chr19,35849298,35861836
chr20,1561642,1593837
chr22,23002366,23258603
chr22,24350518,24396802
chrX,47781211,47890814
chrX,76183575,76393891
chrX,88295779,88420722
chrX,88805597,88858361
chrX,89699003,89767391
chrX,92190299,92243399
chr1,1627907,1692321
chr1,16909598,17012773
chr1,54045181,54062273
chr1,72749849,72783936
chr1,72788714,72811136
chr1,81378770,81393190
chr1,149036513,149190306
chr1,152555756,152586528
chr1,152757691,152768247
chr1,169216100,169242389
chr1,196738612,196812518
chr1,208464142,208481698
chr1,209640792,209670324
chr2,34699316,34737045
chr2,52754457,52781530
chr2,89133113,90053613
chr2,90121340,90211593
chr2,135068008,135100357
chr2,189567945,189579317
chr3,4121224,4213964
chr3,46801806,46849577
chr3,125707076,125721850
chr3,126737269,126885105
chr3,162513138,162625983
chr4,70128401,70228644
chr5,725195,825641
chr5,17481600,17515789
chr5,180378877,180414453
chr6,29871637,29904865
chr6,32454512,32530286
chr6,77016889,77027769
chr6,78969054,79035173
chr6,103737965,103762049
chr7,10294102,10308735
chr7,109437081,109463237
chr7,143938302,144040905
chr8,594933,606452
chr8,2129548,2142267
chr8,7397874,8055248
chr8,12232270,12443043
chr8,24975489,24991995
chr9,44209784,44855725
chr9,126599955,126625509
chr10,56955924,56996718
chr10,67307912,67325453
chr10,135351175,135506692
chr11,18949061,18970736
chr11,25702322,25718969
chr12,11512481,11543374
chr12,34207010,34217670
chr12,48768775,48806998
chr12,132647371,132887378
chr13,38076256,38115110
chr13,57758259,57778368
chr13,69248300,69264673
chr14,106197116,106723342
chr15,56791013,56801701
chr15,76869930,76895763
chr16,63901391,64331503
chr16,78574545,78591884
chr17,34465090,34629684
chr17,44219556,44254494
chr18,39931222,39946015
chr20,1561642,1593837
chr22,23019959,23223233
chr22,24300786,24344410
chr22,24368345,24396802
chrX,47781211,47890814
chrX,76136972,76380185
chrX,88286642,88322403
chrX,88805597,89039867
chrX,92190299,92224248
chr1,62909,712533
chr1,1627907,1672591
chr1,16871267,17048467
chr1,72749849,72811904
chr1,112695675,112706128
chr1,149036513,149152390
chr1,152555177,152586226
chr1,196738612,196802060
chr1,197203870,197221118
chr2,34699316,34737045
chr2,52754457,52781530
chr2,89133113,89497676
chr3,4121224,4213337
chr3,46801806,46849577
chr3,77240102,77265810
chr3,116678873,116978164
chr3,126737269,126885105
chr3,129761125,129856734
chr3,162546218,162625983
chr3,195416642,195442570
chr4,64697722,64708246
chr4,70127633,70229422
chr4,186430502,186447570
chr5,725195,825641
chr5,17491213,17515789
chr5,180378877,180418091
chr6,2027548,2132161
chr6,32454512,32527272
chr6,77016889,77027595
chr6,78962582,79035173
chr6,103737965,103762049
chr7,133785298,133795829
chr8,7385256,7776618
chr8,7949221,8113558
chr8,11877196,12554743
chr8,24974432,24991115
chr9,44209784,44855725
chr10,49201821,49333393
chr10,56955924,56996718
chr10,64956106,65099871
chr10,135357403,135506692
chr11,25706955,25718969
chr12,11512520,11543374
chr13,38076276,38115110
chr13,57758259,57776557
chr13,69251638,69264673
chr13,94132914,94156402
chr14,19335740,19469508
chr14,106197116,106722744
chr16,63904695,64331503
chr17,34451427,34629684
chr17,44225754,44247164
chr19,35849482,35861836
chr20,1578951,1593837
chr22,23017542,23223233
chr22,24283005,24324861
chr22,24329712,24385534
chrX,47781211,47890814
chrX,88295779,88408223
chrX,88805597,89039867
chrX,91881404,92005980
chrX,92190299,92243399
chr1,72749849,72812440
chr1,149041711,149152390
chr1,152555177,152586582
chr1,152751226,152768688
chr1,169233963,169255390
chr1,196738612,196802060
chr1,240391729,240407422
chr2,34699316,34737045
chr2,52754457,52781530
chr2,89133113,89545331
chr3,60334,77301
chr3,4121224,4223269
chr3,46801806,46847604
chr3,125707076,125721850
chr3,126728813,126885105
chr3,129761125,129806040
chr3,162545705,162623885
chr3,195383131,195442570
chr4,64697458,64708246
chr4,69426437,69436623
chr4,70123499,70232112
chr5,730980,825641
chr5,17490742,17515789
chr5,180378877,180418091
chr6,32454512,32527272
chr6,77017032,77027294
chr6,78962863,79032580
chr6,103737965,103762049
chr7,97492647,97503140
chr7,118670103,118694325
chr7,133785166,133795829
chr8,594933,606452
chr8,7403272,8055248
chr8,65246973,65257491
chr8,134726431,134744709
chr9,44209784,44855725
chr9,92510380,92521838
chr10,56955924,56996718
chr10,76222717,76476701
chr10,135358665,135506692
chr11,25706955,25718969
chr12,11513170,11543374
chr12,132647371,132887378
chr13,38072025,38115110
chr13,55678937,55699568
chr13,57758259,57778368
chr14,19416180,19706746
chr14,106218574,106723342
chr14,107091082,107105043
chr15,21142172,21302204
chr16,63901391,64331503
chr17,34446916,34629684
chr17,44219556,44241664
chr22,23071673,23221112
chr22,24350518,24396802
chrX,47781211,47880992
chrX,76195982,76380185
chrX,88372424,88420722
chrX,88805597,89076175
chrX,90858534,90943592
chrX,91158913,91313739
chrX,92190299,92243399
chrX,94386332,94448987
chrX,112056387,112073208
chr1,235659,740857
chr1,1627907,1672591
chr1,4972187,4987424
chr1,16909598,17048467
chr1,54045181,54062273
chr1,64141709,64167494
chr1,72746522,72822824
chr1,75701682,75715571
chr1,102608347,102619809
chr1,112696182,112706206
chr1,120107603,120126440
chr1,149082626,149190306
chr1,152555177,152586582
chr1,152757691,152776743
chr1,175556226,175575592
chr1,190976384,191005777
chr1,196738612,196802060
chr1,209640792,209670324
chr1,210068955,210093637
chr1,211918247,211934369
chr1,236018042,236044766
chr2,31349284,31365108
chr2,34699316,34737045
chr2,43345667,43359127
chr2,52754457,52787949
chr2,89133113,89995025
chr2,90121340,90135873
chr2,143545299,143572278
chr2,189567945,189579317
chr3,3617017,3632459
chr3,4121224,4213964
chr3,11025905,11036697
chr3,46801806,46847604
chr3,64023004,64098754
chr3,65198956,65210440
chr3,126731991,126877407
chr3,137657513,137667622
chr3,148962042,148974301
chr3,162552057,162615903
chr3,164497951,164564528
chr3,168308449,168559288
chr3,191724655,191742079
chr3,193423645,193444574
chr4,19948911,19963213
chr4,21372028,21383728
chr4,27365128,27387573
chr4,27671614,27681804
chr4,35390676,35411531
chr4,37173945,37189472
chr4,38994096,39031979
chr4,60094884,60132170
chr4,60607474,60638238
chr4,64697458,64708246
chr4,65443401,65513198
chr4,67884759,67904161
chr4,70128401,70226887
chr4,77782349,77800625
chr4,94565940,94582661
chr4,97111259,97122591
chr4,105473582,105491264
chr4,115784598,115805556
chr4,164275856,164298239
chr4,164301976,164315107
chr4,170043546,170065351
chr4,177329405,177346464
chr5,668843,722384
chr5,725195,825641
chr5,17481600,17515789
chr5,25511204,25537089
chr5,92056363,92084770
chr5,107125306,107152698
chr5,134639916,134652570
chr5,135391327,135409670
chr5,147040078,147062458
chr5,147370259,147400410
chr5,179084258,179105316
chr5,180380192,180418091
chr6,29871637,29904865
chr6,32454512,32509271
chr6,53931056,53942914
chr6,62206257,62234525
chr6,77016889,77027769
chr6,78969054,79032580
chr6,103738177,103762049
chr6,167704945,167736870
chr7,1169620,1182744
chr7,4883122,4902984
chr7,8973958,8986822
chr7,10294102,10308735
chr7,11734820,11773517
chr7,16731193,16751230
chr7,38297824,38319464
chr7,46138413,46164189
chr7,47099833,47133809
chr7,64930417,65069489
chr7,74842440,75098918
chr7,109437081,109463237
chr7,133785166,133795622
chr7,141770498,141805530
chr7,143909434,144074929
chr7,144914017,144956574
chr7,158455002,158474403
chr8,594933,606452
chr8,2129548,2142557
chr8,5118516,5138779
chr8,7403272,7809894
chr8,7865791,8009192
chr8,11949540,12578078
chr8,51030338,51044524
chr8,52465779,52493761
chr8,55193989,55211442
chr8,56207255,56218669
chr8,62765703,62795957
chr8,123057327,123074280
chr8,125575804,125600950
chr8,131439768,131458751
chr8,136623381,136634612
chr8,140033715,140048714
chr9,11085100,11097217
chr9,66722410,67298699
chr9,69137904,69630327
chr9,90506806,90559154
chr9,93842022,93855525
chr10,5539615,5554958
chr10,28541397,28564927
chr10,29160837,29181574
chr10,47058781,47078696
chr10,47673802,47960070
chr10,56955924,56996718
chr10,65769867,65794120
chr10,67308580,67325453
chr10,73493526,73521578
chr10,92081094,92095819
chr10,95240699,95270459
chr10,105515145,105528767
chr10,121834566,121865969
chr10,123338976,123367147
chr10,124152262,124175462
chr10,126330961,126372153
chr10,134502008,134545410
chr10,135204189,135243105
chr10,135351175,135506692
chr11,18949636,18961053
chr11,25702322,25718969
chr11,93692187,93704460
chr12,150431,203640
chr12,8520545,8584660
chr12,23648993,23678552
chr12,26140638,26153881
chr12,26246709,26259859
chr12,34207010,34217670
chr12,34464458,34549106
chr12,40982613,40996013
chr12,49025473,49065538
chr12,76331967,76352964
chr12,84547232,84598626
chr12,85179587,85206199
chr12,85209648,85245182
chr12,92617104,92634415
chr12,108756861,108767604
chr12,119557350,119569918
chr12,122794346,122848295
chr12,132647371,132858663
chr13,22085996,22115922
chr13,25090157,25101328
chr13,29904319,29934602
chr13,38078341,38115110
chr13,44707612,44734696
chr13,54151604,54162482
chr13,55044199,55080781
chr13,56264446,56316044
chr13,65494196,65507078
chr13,109777504,109792361
chr14,105365305,105384959
chr14,106246291,106291201
chr14,106342306,106693466
chr15,22161334,22208586
chr15,32029774,32054272
chr15,56787665,56801701
chr16,23510183,23528988
chr16,33338113,33754979
chr16,63901391,64331503
chr16,70119742,70297118
chr17,19861459,19874925
chr17,34460376,34629684
chr17,39407982,39430519
chr17,44219556,44276548
chr18,70680503,70714318
chr19,12577866,12609771
chr19,35849482,35861158
chr19,40464866,40493339
chr19,56293702,56307723
chr20,1578951,1593837
chr20,42210547,42227012
chr20,53685663,53697916
chr22,23018551,23262969
chr22,24350518,24396802
chr22,49900250,49915084
chrX,47781211,47890814
chrX,76227771,76411572
chrX,88286642,88500320
chrX,88798556,89067333
chrX,89707253,89748800
chrX,91158913,91222067
chrX,91777766,91867195
chrX,92190867,92243399
chrX,145172196,145186169
chr1,62909,768781
chr1,1627907,1687675
chr1,4971218,4986508
chr1,16886124,17048467
chr1,48103595,48129176
chr1,64161526,64173484
chr1,64396263,64486207
chr1,72746522,72811136
chr1,81843507,81886972
chr1,91226448,91259116
chr1,111382468,111400793
chr1,112695675,112706137
chr1,144045189,145290292
chr1,149040067,149190306
chr1,152555177,152586582
chr1,152754631,152778576
chr1,196738612,196812518
chr1,211918247,211934369
chr1,225170292,225183379
chr1,230023424,230051479
chr2,34699316,34737045
chr2,52754457,52781283
chr2,89133113,89593743
chr2,90121404,90135873
chr2,127499839,127512405
chr3,4121224,4213964
chr3,46801806,46849577
chr3,68732017,68747401
chr3,125707076,125721850
chr3,126737269,126879285
chr3,129760623,129808799
chr3,162513138,162623885
chr3,164527691,164564528
chr3,168308449,168559288
chr4,9449290,9479333
chr4,21371992,21383728
chr4,49297209,49658600
chr4,62631208,62674084
chr4,64697458,64708246
chr4,67876747,67892231
chr4,69655556,69695310
chr4,70127633,70229422
chr4,77782349,77793105
chr4,92880125,93005816
chr4,96073870,96092617
chr4,120000017,120042006
chr4,120296592,120380376
chr4,165869527,165882281
chr5,725195,825641
chr5,17481600,17515789
chr5,107121960,107165264
chr5,147261916,147410861
chr5,179056476,179096468
chr5,180380192,180418091
chr6,26728629,26783655
chr6,29871637,29904865
chr6,32454512,32527272
chr6,77016889,77027769
chr6,78969054,79035173
chr6,103747719,103762049
chr7,8973958,8986822
chr7,10010908,10022493
chr7,10294102,10308735
chr7,57319532,57343913
chr7,64941888,65080276
chr7,109437081,109459774
chr7,133785166,133798097
chr7,141770498,141790171
chr7,143909434,144051219
chr8,2129548,2142267
chr8,7385256,7827355
chr8,7935844,8055248
chr8,11859741,12578078
chr8,52366301,52385606
chr8,68843497,68870815
chr8,72555473,72601266
chr8,135026133,135036616
chr9,44209784,44855725
chr9,68999537,69915429
chr9,140272992,140304012
chr10,53521145,53584234
chr10,56955924,56996718
chr10,65770894,65794120
chr10,95113375,95136246
chr10,95243809,95268629
chr10,135351138,135506692
chr11,25702322,25718969
chr12,8516458,8584660
chr12,61524956,61536108
chr12,132647371,132887378
chr13,25572907,25589205
chr13,38076256,38115110
chr13,54988296,55080781
chr13,57758259,57778368
chr14,19335740,19469508
chr14,24733172,24760764
chr14,31201814,31227836
chr14,41610485,41657337
chr14,42837498,42855705
chr14,45303779,45339780
chr14,106194466,106757607
chr14,107160326,107176213
chr15,21150144,21302204
chr15,56790692,56801701
chr15,76891500,76902626
chr16,63901391,64331503
chr16,70888753,70919559
chr16,70972134,71046895
chr17,34460376,34629684
chr17,39414636,39430519
chr17,44219556,44247164
chr19,35849482,35861158
chr19,54060769,54107686
chr19,54730203,54741307
chr20,1561569,1593837
chr21,11039261,11126188
chr22,23018551,23223233
chr22,24270778,24344410
chr22,24350518,24394003
chrX,47781211,47890814
chrX,88295779,88408734
chrX,88939628,89076175
chrX,89707253,89748800
chrX,92190299,92243399
chr1,61724,768781
chr1,1627907,1672591
chr1,16831864,17048467
chr1,64127190,64178555
chr1,72749849,72811904
chr1,81840386,81886972
chr1,104155791,104239677
chr1,112695675,112706128
chr1,144036738,144897028
chr1,144938880,145290292
chr1,149041795,149190306
chr1,152555177,152586582
chr1,152754631,152778576
chr1,196738612,196812518
chr1,204470193,204512820
chr1,210068013,210093637
chr1,211918247,211934369
chr1,212972158,212999807
chr2,34699316,34737045
chr2,52754457,52781530
chr2,89133113,89995025
chr2,90121404,90135873
chr2,143543568,143571405
chr2,189567945,189579317
chr2,229909991,229920266
chr2,230094438,230115370
chr3,4121224,4213964
chr3,46801806,46849577
chr3,79057319,79124633
chr3,82861677,82884383
chr3,125707076,125721850
chr3,126737269,126885105
chr3,129730688,129914958
chr3,154924779,154958084
chr3,162513138,162625983
chr3,168308449,168545118
chr3,195422278,195464854
chr4,12270,65966
chr4,9461219,9509875
chr4,21371992,21388664
chr4,49093775,49561973
chr4,64697458,64708246
chr4,67876747,67899235
chr4,69614974,69695310
chr4,70123499,70229422
chr4,93490528,93643824
chr4,129379868,129418136
chr4,151718345,151733248
chr4,186435846,186447570
chr4,190093733,190131442
chr5,725195,825641
chr5,17481600,17515789
chr5,21732253,21758500
chr5,107132695,107165264
chr5,147031842,147062458
chr5,147289667,147481385
chr5,179056476,179086482
chr5,180378877,180418091
chr6,32454512,32509271
chr6,77016889,77027769
chr6,78969054,79035173
chr6,96408517,96488657
chr6,103737965,103762049
chr6,134952919,135008380
chr7,72406311,72732821
chr7,133785166,133795653
chr7,141770498,141790171
chr7,143927796,144051219
chr8,594933,606452
chr8,7323442,7809894
chr8,7943397,8055248
chr8,11861798,12566650
chr8,24974465,24991115
chr8,72555473,72601266
chr8,85257960,85268654
chr9,41628258,44214733
chr9,44243423,44855725
chr9,68995223,69844801
chr10,56955924,56996718
chr10,95243809,95268629
chr10,135351175,135506692
chr11,18949061,18961269
chr11,25702322,25724291
chr12,11512481,11543374
chr12,132647371,132887378
chr13,38076256,38115110
chr13,57758259,57778368
chr14,20310924,20332354
chr14,26779631,26795092
chr14,42840593,42855705
chr14,106194466,106693466
chr14,107160326,107176213
chr15,56791013,56801701
chr16,63901391,64331503
chr17,34465090,34629684
chr17,44219556,44247164
chr18,39937482,39955829
chr18,64152672,64212560
chr20,1561569,1593837
chr22,23002366,23223233
chr22,24283005,24344410
chr22,24350518,24396802
chrX,47781211,47890814
chrX,88295779,88408734
chrX,88805597,89067333
chrX,89707253,89767391
chrX,91528208,91710179
chrX,91777766,91943542
chrX,92190299,92243399
chr1,62909,721290
chr1,1627907,1688046
chr1,8111736,8161850
chr1,16871267,17089337
chr1,18980400,19001748
chr1,34163720,34176639
chr1,48686993,48745061
chr1,54045181,54061978
chr1,57222600,57241533
chr1,57243087,57268437
chr1,64386920,64478605
chr1,67843073,67855297
chr1,72749849,72775122
chr1,72788714,72811136
chr1,79132165,79155134
chr1,80452406,80464047
chr1,91235444,91259116
chr1,102608578,102659848
chr1,111383901,111395110
chr1,112695675,112706206
chr1,149041852,149190306
chr1,152555177,152586582
chr1,152757691,152778576
chr1,167654208,167679613
chr1,187150702,187165025
chr1,190529491,190546399
chr1,190976384,191017268
chr1,194555332,194572325
chr1,196711068,196812518
chr1,198438273,198454949
chr1,199583169,199598783
chr1,203865459,203891595
chr1,208091311,208105037
chr1,209640792,209700168
chr1,209955820,209969914
chr1,211918247,211952891
chr1,226554609,226585516
chr1,234137083,234155561
chr1,236911752,236924892
chr1,240208241,240237046
chr1,240394004,240410864
chr2,34699316,34737045
chr2,52754457,52781283
chr2,57882583,57943499
chr2,77976687,77990458
chr2,89143757,89995025
chr2,90121340,90135873
chr2,100894231,100917942
chr2,126743108,126765728
chr2,141098021,141108098
chr2,182454778,182465301
chr2,189567945,189579317
chr3,60334,72871
chr3,3617017,3632459
chr3,4121224,4213964
chr3,26532574,26555459
chr3,26591277,26620919
chr3,46801806,46847229
chr3,110044232,110064908
chr3,114835725,115091960
chr3,125707076,125721850
chr3,126737269,126885105
chr3,162512646,162623885
chr3,164497951,164564528
chr3,180147807,180182044
chr3,191721895,191742079
chr4,21371992,21383728
chr4,27365128,27387573
chr4,34908411,34928521
chr4,64697458,64708246
chr4,67884759,67904161
chr4,70127633,70229422
chr4,94522092,94541586
chr4,94565940,94583084
chr4,164275856,164298239
chr4,164301976,164328368
chr4,170045333,170065351
chr5,725195,825641
chr5,4000469,4027756
chr5,17481600,17515789
chr5,106768277,106779305
chr5,107125306,107165074
chr5,116084667,116104043
chr5,119615736,119628606
chr5,135368868,135401678
chr5,174051118,174074992
chr5,180378877,180433264
chr6,24791270,24832713
chr6,29871637,29908469
chr6,32454512,32509271
chr6,77016889,77027769
chr6,78969054,79032580
chr6,103738177,103762049
chr6,136284228,136305362
chr6,142065497,142102229
chr6,160043112,160061477
chr6,166497620,166514150
chr7,4038918,4054771
chr7,7757056,7770203
chr7,8973958,8986822
chr7,10010908,10030349
chr7,10294102,10308735
chr7,16731193,16744401
chr7,21244114,21257800
chr7,45900246,45927677
chr7,49706592,49730488
chr7,49811199,49833688
chr7,55207448,55218903
chr7,64930417,65069489
chr7,68006679,68018930
chr7,90635624,90646392
chr7,97417596,97454314
chr7,109437081,109453807
chr7,119717663,119743554
chr7,134392734,134412383
chr7,141763113,141805530
chr7,143927796,144074929
chr7,153962575,153974199
chr7,154111916,154133865
chr7,154676792,154694734
chr7,157575991,157595237
chr7,158455002,158480448
chr8,1561757,1583640
chr8,2128062,2142267
chr8,2469670,2487861
chr8,4285391,4301996
chr8,4801331,4811455
chr8,5079027,5089101
chr8,5118516,5152760
chr8,7783151,7832042
chr8,7935844,8009192
chr8,11897178,12585825
chr8,52465779,52484616
chr8,83294782,83317534
chr8,97238770,97269060
chr8,111420236,111451173
chr8,136205367,136220954
chr8,139622076,139641419
chr9,192130,217099
chr9,382234,395277
chr9,10286987,10310942
chr9,11083427,11097217
chr9,30966543,30979741
chr9,68995223,69587268
chr9,71044891,71059889
chr9,75915945,75951194
chr9,81723668,81739686
chr9,86033080,86048034
chr9,93844315,93855525
chr9,102972470,102993899
chr9,113106988,113117291
chr9,122842527,122861508
chr9,126610868,126629544
chr9,128932070,128954297
chr9,138181481,138199455
chr9,140272992,140291031
chr10,56961461,56995810
chr10,67296328,67325453
chr10,73498416,73521578
chr10,95232914,95264507
chr10,101551345,101594729
chr10,115115137,115158306
chr10,121833091,121865969
chr10,124285189,124357714
chr10,135351175,135506692
chr11,1615355,1629747
chr11,18949061,18960738
chr11,20740265,20786556
chr11,25706955,25724291
chr11,86320309,86331633
chr11,93692301,93704460
chr11,94394517,94447077
chr11,106077619,106121275
chr11,111017035,111039561
chr11,117570852,117621098
chr11,130280514,130316680
chr12,8520545,8575011
chr12,48737147,48785477
chr12,61524956,61536108
chr12,61694875,61707599
chr12,110078770,110093847
chr12,110096384,110107550
chr12,127484301,127500406
chr12,132647371,132887378
chr13,22085996,22115922
chr13,24605801,24617611
chr13,25089574,25101328
chr13,25572907,25589205
chr13,38076660,38115110
chr13,44700184,44734696
chr13,57763136,57778368
chr13,58795763,58844433
chr13,77828036,77860074
chr13,78665727,78683509
chr13,83731962,83750277
chr13,93001242,93029622
chr13,112289329,112312278
chr13,112547398,112576691
chr14,22634809,22646684
chr14,105366500,105384959
chr14,106194466,106291201
