chromosome,start,end,value
chr1,62250000,62499999,0.003824
chr1,62500000,62749999,0.003112
chr1,62750000,62999999,0.002496
chr1,63000000,63249999,0.002884
chr1,63250000,63499999,0.004116
chr1,63500000,63749999,0.002784
chr1,63750000,63999999,0.00404
chr1,64000000,64249999,0.002824
chr1,64250000,64499999,0.003356
chr1,64500000,64749999,0.00402
chr1,64750000,64999999,0.002688
chr1,65000000,65249999,0.002756
chr1,65250000,65499999,0.00306
chr1,65500000,65749999,0.003072
chr1,65750000,65999999,0.003988
chr1,66000000,66249999,0.002604
chr1,66250000,66499999,0.003176
chr1,66500000,66749999,0.003552
chr1,66750000,66999999,0.003956
chr1,67000000,67249999,0.0027
chr1,67250000,67499999,0.0034
chr1,67500000,67749999,0.003324
chr1,67750000,67999999,0.003464
chr1,68000000,68249999,0.002924
chr1,68250000,68499999,0.00352
chr1,68500000,68749999,0.003456
chr1,68750000,68999999,0.003132
chr1,69000000,69249999,0.002492
chr1,69250000,69499999,0.002592
chr1,69500000,69749999,0.002948
chr1,69750000,69999999,0.003544
chr1,70000000,70249999,0.002688
chr1,70250000,70499999,0.001968
chr1,70500000,70749999,0.002348
chr1,70750000,70999999,0.003732
chr1,71000000,71249999,0.003052
chr1,71250000,71499999,0.002424
chr1,71500000,71749999,0.001984
chr1,71750000,71999999,0.002976
chr1,72000000,72249999,0.00316
chr1,72250000,72499999,0.002964
chr1,72500000,72749999,0.00264
chr1,72750000,72999999,0.003196
chr1,73000000,73249999,0.002692
chr1,73250000,73499999,0.002996
chr1,73500000,73749999,0.002872
chr1,73750000,73999999,0.00298
chr1,74000000,74249999,0.003208
chr1,74250000,74499999,0.00242
chr1,74500000,74749999,0.002572
chr1,74750000,74999999,0.002896
chr1,75000000,75249999,0.002712
chr1,75250000,75499999,0.002576
chr1,75500000,75749999,0.002696
chr1,75750000,75999999,0.003744
chr1,76000000,76249999,0.00408
chr1,76250000,76499999,0.003952
chr1,76500000,76749999,0.002944
chr1,76750000,76999999,0.003552
chr1,77000000,77249999,0.00282
chr1,77250000,77499999,0.002676
chr1,77500000,77749999,0.003544
chr1,77750000,77999999,0.001772
chr1,78000000,78249999,0.001608
chr1,78250000,78499999,0.002972
chr1,78500000,78749999,0.002884
chr1,78750000,78999999,0.003068
chr1,79000000,79249999,0.003588
chr1,79250000,79499999,0.003624
chr1,79500000,79749999,0.003652
chr1,79750000,79999999,0.003512
chr1,80000000,80249999,0.003824
chr1,80250000,80499999,0.003028
chr1,80500000,80749999,0.003208
chr1,80750000,80999999,0.003216
chr1,81000000,81249999,0.003312
chr1,81250000,81499999,0.003268
chr1,81500000,81749999,0.003728
chr1,81750000,81999999,0.0028
chr1,82000000,82249999,0.003144
chr1,82250000,82499999,0.002764
chr1,82500000,82749999,0.0034
chr1,82750000,82999999,0.004328
chr1,83000000,83249999,0.003164
chr1,83250000,83499999,0.005124
chr1,83500000,83749999,0.00666
chr1,83750000,83999999,0.003528
chr1,84000000,84249999,0.002808
chr1,84250000,84499999,0.00222
chr1,84500000,84749999,0.00338
chr1,84750000,84999999,0.003004
chr1,85000000,85249999,0.003548
chr1,85250000,85499999,0.003164
chr1,85500000,85749999,0.003512
chr1,85750000,85999999,0.003848
chr1,86000000,86249999,0.003152
chr1,86250000,86499999,0.003416
chr1,86500000,86749999,0.003652
chr1,86750000,86999999,0.002428
chr1,87000000,87249999,0.002644
chr1,87250000,87499999,0.00246
chr1,87500000,87749999,0.00294
chr1,87750000,87999999,0.00268
chr1,88000000,88249999,0.002728
chr1,88250000,88499999,0.002304
chr1,88500000,88749999,0.002592
chr1,88750000,88999999,0.003112
chr1,89000000,89249999,0.003136
chr1,89250000,89499999,0.00278
chr1,89500000,89749999,0.002864
chr1,89750000,89999999,0.002956
chr1,90000000,90249999,0.002468
chr1,90250000,90499999,0.0027
chr1,90500000,90749999,0.002596
chr1,90750000,90999999,0.00238
chr1,91000000,91249999,0.002768
chr1,91250000,91499999,0.004256
chr1,91500000,91749999,0.0036
chr1,91750000,91999999,0.004708
chr1,92000000,92249999,0.004016
chr1,92250000,92499999,0.002324
chr1,92500000,92749999,0.002064
chr1,92750000,92999999,0.00254
chr1,93000000,93249999,0.00248
chr1,93250000,93499999,0.002532
chr1,93500000,93749999,0.002224
chr1,93750000,93999999,0.002548
chr1,94000000,94249999,0.003828
chr1,94250000,94499999,0.003076
chr1,94500000,94749999,0.002112
chr1,94750000,94999999,0.004736
chr1,95000000,95249999,0.003572
chr1,95250000,95499999,0.002744
chr1,95500000,95749999,0.002856
chr1,95750000,95999999,0.00276
chr1,96000000,96249999,0.002964
chr1,96250000,96499999,0.003096
chr1,96500000,96749999,0.003592
chr1,96750000,96999999,0.002808
chr1,97000000,97249999,0.002252
chr1,97250000,97499999,0.00278
chr1,97500000,97749999,0.002756
chr1,97750000,97999999,0.001724
chr1,98000000,98249999,0.001796
chr1,98250000,98499999,0.002636
chr1,98500000,98749999,0.00272
chr1,98750000,98999999,0.00304
chr1,99000000,99249999,0.0031
chr1,99250000,99499999,0.003716
chr1,99500000,99749999,0.002516
chr1,99750000,99999999,0.003632
chr1,100000000,100249999,0.002888
chr1,100250000,100499999,0.002036
chr1,100500000,100749999,0.003056
chr1,100750000,100999999,0.003944
chr1,101000000,101249999,0.002288
chr1,101250000,101499999,0.002412
chr1,101500000,101749999,0.004016
chr1,101750000,101999999,0.003844
chr1,102000000,102249999,0.003676
chr1,102250000,102499999,0.0031
chr1,102500000,102749999,0.005052
chr1,102750000,102999999,0.00308
chr1,103000000,103249999,0.003884
chr1,103250000,103499999,0.004252
chr1,103500000,103749999,0.001896
chr1,103750000,103999999,0.001772
chr1,104000000,104249999,0.00352
chr1,104250000,104499999,0.003424
chr1,104500000,104749999,0.004196
chr1,104750000,104999999,0.004372
chr1,105000000,105249999,0.005364
chr1,105250000,105499999,0.003932
chr1,105500000,105749999,0.005288
chr1,105750000,105999999,0.005496
chr1,106000000,106249999,0.003612
chr1,106250000,106499999,0.002716
chr1,106500000,106749999,0.004232
chr1,106750000,106999999,0.002788
chr1,107000000,107249999,0.002724
chr1,107250000,107499999,0.003036
chr1,107500000,107749999,0.00304
chr1,107750000,107999999,0.003456
chr1,108000000,108249999,0.003092
chr1,108250000,108499999,0.003956
chr1,108500000,108749999,0.003744
chr1,108750000,108999999,0.003336
chr1,109000000,109249999,0.003084
chr1,109250000,109499999,0.003
chr1,109500000,109749999,0.002592
chr1,109750000,109999999,0.002324
chr1,110000000,110249999,0.004416
chr1,110250000,110499999,0.002708
chr1,110500000,110749999,0.002864
chr1,110750000,110999999,0.003164
chr1,111000000,111249999,0.003452
chr1,111250000,111499999,0.00322
chr1,111500000,111749999,0.0045
chr1,111750000,111999999,0.003312
chr1,112000000,112249999,0.00358
chr1,112250000,112499999,0.004024
chr1,112500000,112749999,0.00454
chr1,112750000,112999999,0.00286
chr1,113000000,113249999,0.002924
chr1,113250000,113499999,0.002444
chr1,113500000,113749999,0.003596
chr1,113750000,113999999,0.002416
chr1,114000000,114249999,0.002184
chr1,114250000,114499999,0.00334
chr1,114500000,114749999,0.003632
chr1,114750000,114999999,0.002048
chr1,115000000,115249999,0.002332
chr1,115250000,115499999,0.00296
chr1,115500000,115749999,0.003684
chr1,115750000,115999999,0.003148
chr1,116000000,116249999,0.004608
chr1,116250000,116499999,0.002632
chr1,116500000,116749999,0.003252
chr1,116750000,116999999,0.0037
chr1,117000000,117249999,0.002496
chr1,117250000,117499999,0.003076
chr1,117500000,117749999,0.003672
chr1,117750000,117999999,0.003188
chr1,118000000,118249999,0.003088
chr1,118250000,118499999,0.001808
chr1,118500000,118749999,0.002832
chr1,118750000,118999999,0.00358
chr1,119000000,119249999,0.002944
chr1,119250000,119499999,0.00312
chr1,119500000,119749999,0.002756
chr1,119750000,119999999,0.004172
chr1,120000000,120249999,0.003104
chr1,120250000,120499999,0.006356
chr1,120500000,120749999,0.003116
chr1,120750000,120999999,0.003712
chr1,121000000,121249999,0.007324
chr1,141250000,141499999,0.004484
chr1,141500000,141749999,0.028664
chr1,141750000,141999999,0.021448
chr1,142000000,142249999,0.022036
chr1,142250000,142499999,0.023668
chr1,142500000,142749999,0.007772
chr1,142750000,142999999,0.003696
chr1,143000000,143249999,0.008296
chr1,143250000,143499999,0.005876
chr1,143500000,143749999,0.0104
chr1,143750000,143999999,0.009628
chr1,144000000,144249999,0.00744
chr1,144250000,144499999,0.002584
chr1,144500000,144749999,0.004428
chr1,144750000,144999999,0.007604
chr1,145000000,145249999,0.004344
chr1,145250000,145499999,0.003576
chr1,145500000,145749999,0.002756
chr1,145750000,145999999,0.004232
chr1,146000000,146249999,0.007428
chr1,146250000,146499999,0.009484
chr1,146500000,146749999,0.004924
chr1,146750000,146999999,0.008036
chr1,147000000,147249999,0.014104
chr1,147250000,147499999,0.004336
chr1,147500000,147749999,0.005344
chr1,147750000,147999999,0.010984
chr1,148000000,148249999,0.004716
chr1,148250000,148499999,0.002376
chr1,148500000,148749999,0.00316
chr1,148750000,148999999,0.002564
chr1,149000000,149249999,0.002608
chr1,149250000,149499999,0.00202
chr1,149500000,149749999,0.0025
chr1,149750000,149999999,0.002608
chr1,150000000,150249999,0.002948
chr1,150250000,150499999,0.002984
chr1,150500000,150749999,0.008688
chr1,150750000,150999999,0.004216
chr1,151000000,151249999,0.007372
chr1,151250000,151499999,0.005164
chr1,151500000,151749999,0.004276
chr1,151750000,151999999,0.002476
chr1,152000000,152249999,0.001948
chr1,152250000,152499999,0.001908
chr1,152500000,152749999,0.002904
chr1,152750000,152999999,0.00292
chr1,153000000,153249999,0.002672
chr1,153250000,153499999,0.002464
chr1,153500000,153749999,0.001752
chr1,153750000,153999999,0.00248
chr1,154000000,154249999,0.002232
chr1,154250000,154499999,0.00262
chr1,154500000,154749999,0.00222
chr1,154750000,154999999,0.002956
chr1,155000000,155249999,0.002996
chr1,155250000,155499999,0.005192
chr1,155500000,155749999,0.004732
chr1,155750000,155999999,0.004648
chr1,156000000,156249999,0.003308
chr1,156250000,156499999,0.005964
chr1,156500000,156749999,0.00498
chr1,156750000,156999999,0.005944
chr1,157000000,157249999,0.00758
chr1,157250000,157499999,0.00408
chr1,157500000,157749999,0.005188
chr1,157750000,157999999,0.006704
chr1,158000000,158249999,0.002904
chr1,158250000,158499999,0.002988
chr1,158500000,158749999,0.003604
chr1,158750000,158999999,0.003536
chr1,159000000,159249999,0.00534
chr1,159250000,159499999,0.002552
chr1,159500000,159749999,0.003808
chr1,159750000,159999999,0.006752
chr1,160000000,160249999,0.003252
chr1,160250000,160499999,0.003672
chr1,160500000,160749999,0.004508
chr1,160750000,160999999,0.003528
chr1,161000000,161249999,0.00486
chr1,161250000,161499999,0.003864
chr1,161500000,161749999,0.004076
chr1,161750000,161999999,0.004864
chr1,162000000,162249999,0.003148
chr1,162250000,162499999,0.004304
chr1,162500000,162749999,0.00468
chr1,162750000,162999999,0.003036
chr1,163000000,163249999,0.002728
chr1,163250000,163499999,0.00348
chr1,163500000,163749999,0.003548
chr1,163750000,163999999,0.004364
chr1,164000000,164249999,0.003924
chr1,164250000,164499999,0.00428
chr1,164500000,164749999,0.00346
chr1,164750000,164999999,0.004872
chr1,165000000,165249999,0.002388
chr1,165250000,165499999,0.00312
chr1,165500000,165749999,0.002968
chr1,165750000,165999999,0.003948
chr1,166000000,166249999,0.002996
chr1,166250000,166499999,0.00276
chr1,166500000,166749999,0.00412
chr1,166750000,166999999,0.004068
chr1,167000000,167249999,0.003256
chr1,167250000,167499999,0.004716
chr1,167500000,167749999,0.003508
chr1,167750000,167999999,0.005904
chr1,168000000,168249999,0.003416
chr1,168250000,168499999,0.003648
chr1,168500000,168749999,0.003812
chr1,168750000,168999999,0.002652
chr1,169000000,169249999,0.00348
chr1,169250000,169499999,0.00414
chr1,169500000,169749999,0.0039
chr1,169750000,169999999,0.003352
chr1,170000000,170249999,0.002972
chr1,170250000,170499999,0.002636
chr1,170500000,170749999,0.003036
chr1,170750000,170999999,0.002208
chr1,171000000,171249999,0.00242
chr1,171250000,171499999,0.002492
chr1,171500000,171749999,0.003152
chr1,171750000,171999999,0.002116
chr1,172000000,172249999,0.00244
chr1,172250000,172499999,0.002104
chr1,172500000,172749999,0.002048
chr1,172750000,172999999,0.002184
chr1,173000000,173249999,0.00208
chr1,173250000,173499999,0.003728
chr1,173500000,173749999,0.003468
chr1,173750000,173999999,0.0028
chr1,174000000,174249999,0.002848
chr1,174250000,174499999,0.002344
chr1,174500000,174749999,0.002528
chr1,174750000,174999999,0.00208
chr1,175000000,175249999,0.002528
chr1,175250000,175499999,0.00228
chr1,175500000,175749999,0.002772
chr1,175750000,175999999,0.002772
chr1,176000000,176249999,0.003332
chr1,176250000,176499999,0.002068
chr1,176500000,176749999,0.001928
chr1,176750000,176999999,0.003388
chr1,177000000,177249999,0.002088
chr1,177250000,177499999,0.003184
chr1,177500000,177749999,0.005
chr1,177750000,177999999,0.003488
chr1,178000000,178249999,0.002456
chr1,178250000,178499999,0.003028
chr1,178500000,178749999,0.002568
chr1,178750000,178999999,0.003016
chr1,179000000,179249999,0.002756
chr1,179250000,179499999,0.00362
chr1,179500000,179749999,0.003068
chr1,179750000,179999999,0.002548
chr1,180000000,180249999,0.002688
chr1,180250000,180499999,0.00256
chr1,180500000,180749999,0.00346
chr1,180750000,180999999,0.003304
chr1,181000000,181249999,0.00252
chr1,181250000,181499999,0.003756
chr1,181500000,181749999,0.00278
chr1,181750000,181999999,0.003952
chr1,182000000,182249999,0.003004
chr1,182250000,182499999,0.002668
chr1,182500000,182749999,0.002588
chr1,182750000,182999999,0.001984
chr1,183000000,183249999,0.00232
chr1,183250000,183499999,0.001576
chr1,183500000,183749999,0.00238
chr1,183750000,183999999,0.002688
chr1,184000000,184249999,0.001932
chr1,184250000,184499999,0.002416
chr1,184500000,184749999,0.002624
chr1,184750000,184999999,0.003032
chr1,185000000,185249999,0.00372
chr1,185250000,185499999,0.002704
chr1,185500000,185749999,0.003212
chr1,185750000,185999999,0.003748
chr1,186000000,186249999,0.003612
chr1,186250000,186499999,0.003452
chr1,186500000,186749999,0.005048
chr1,186750000,186999999,0.00448
chr1,187000000,187249999,0.002668
chr1,187250000,187499999,0.002772
chr1,187500000,187749999,0.00278
chr1,187750000,187999999,0.003764
chr1,188000000,188249999,0.004388
chr1,188250000,188499999,0.003236
chr1,188500000,188749999,0.002468
chr1,188750000,188999999,0.003032
chr1,189000000,189249999,0.003536
chr1,189250000,189499999,0.003184
chr1,189500000,189749999,0.002488
chr1,189750000,189999999,0.002648
chr1,190000000,190249999,0.002736
chr1,190250000,190499999,0.002408
chr1,190500000,190749999,0.002444
chr1,190750000,190999999,0.003588
chr1,191000000,191249999,0.002832
chr1,191250000,191499999,0.001684
chr1,191500000,191749999,0.002412
chr1,191750000,191999999,0.003088
chr1,192000000,192249999,0.003792
chr1,192250000,192499999,0.003736
chr1,192500000,192749999,0.004052
chr1,192750000,192999999,0.003492
chr1,193000000,193249999,0.003332
chr1,193250000,193499999,0.004288
chr1,193500000,193749999,0.002168
chr1,193750000,193999999,0.002376
chr1,194000000,194249999,0.004272
chr1,194250000,194499999,0.002376
chr1,194500000,194749999,0.001744
chr1,194750000,194999999,0.004104
chr1,195000000,195249999,0.00506
chr1,195250000,195499999,0.002544
chr1,195500000,195749999,0.0023
chr1,195750000,195999999,0.0021
chr1,196000000,196249999,0.00326
chr1,196250000,196499999,0.002628
chr1,196500000,196749999,0.002684
chr1,196750000,196999999,0.002936
chr1,197000000,197249999,0.0021
chr1,197250000,197499999,0.002432
chr1,197500000,197749999,0.00328
chr1,197750000,197999999,0.00326
chr1,198000000,198249999,0.003172
chr1,198250000,198499999,0.00352
chr1,198500000,198749999,0.00318
chr1,198750000,198999999,0.003092
chr1,199000000,199249999,0.00282
chr1,199250000,199499999,0.004068
chr1,199500000,199749999,0.004296
chr1,199750000,199999999,0.003336
chr1,200000000,200249999,0.003228
chr1,200250000,200499999,0.003196
chr1,200500000,200749999,0.002676
chr1,200750000,200999999,0.002592
chr1,201000000,201249999,0.003092
chr1,201250000,201499999,0.003332
chr1,201500000,201749999,0.00322
chr1,201750000,201999999,0.003128
chr1,202000000,202249999,0.00412
chr1,202250000,202499999,0.003152
chr1,202500000,202749999,0.003072
chr1,202750000,202999999,0.003176
chr1,203000000,203249999,0.003548
chr1,203250000,203499999,0.00298
chr1,203500000,203749999,0.00346
chr1,203750000,203999999,0.003144
chr1,204000000,204249999,0.002524
chr1,204250000,204499999,0.002696
chr1,204500000,204749999,0.00298
chr1,204750000,204999999,0.002872
chr1,205000000,205249999,0.00332
chr1,205250000,205499999,0.00306
chr1,205500000,205749999,0.003312
chr1,205750000,205999999,0.003788
chr1,206000000,206249999,0.002892
chr1,206250000,206499999,0.003264
chr1,206500000,206749999,0.003228
chr1,206750000,206999999,0.003112
chr1,207000000,207249999,0.00334
chr1,207250000,207499999,0.003164
chr1,207500000,207749999,0.002984
chr1,207750000,207999999,0.00314
chr1,208000000,208249999,0.00328
chr1,208250000,208499999,0.002832
chr1,208500000,208749999,0.004064
chr1,208750000,208999999,0.003432
chr1,209000000,209249999,0.002996
chr1,209250000,209499999,0.003072
chr1,209500000,209749999,0.002428
chr1,209750000,209999999,0.003808
chr1,210000000,210249999,0.002584
chr1,210250000,210499999,0.003848
chr1,210500000,210749999,0.003084
chr1,210750000,210999999,0.0034
chr1,211000000,211249999,0.003748
chr1,211250000,211499999,0.001612
chr1,211500000,211749999,0.002732
chr1,211750000,211999999,0.003236
chr1,212000000,212249999,0.002492
chr1,212250000,212499999,0.002864
chr1,212500000,212749999,0.003552
chr1,212750000,212999999,0.00306
chr1,213000000,213249999,0.00344
chr1,213250000,213499999,0.003332
chr1,213500000,213749999,0.001752
chr1,213750000,213999999,0.002248
chr1,214000000,214249999,0.003488
chr1,214250000,214499999,0.002788
chr1,214500000,214749999,0.00272
chr1,214750000,214999999,0.004044
chr1,215000000,215249999,0.004636
chr1,215250000,215499999,0.00446
chr1,215500000,215749999,0.003748
chr1,215750000,215999999,0.002544
chr1,216000000,216249999,0.003972
chr1,216250000,216499999,0.003904
chr1,216500000,216749999,0.00312
chr1,216750000,216999999,0.003844
chr1,217000000,217249999,0.00328
chr1,217250000,217499999,0.0029
chr1,217500000,217749999,0.003396
chr1,217750000,217999999,0.003716
chr1,218000000,218249999,0.00374
chr1,218250000,218499999,0.002052
chr1,218500000,218749999,0.002916
chr1,218750000,218999999,0.002708
chr1,219000000,219249999,0.003332
chr1,219250000,219499999,0.002356
chr1,219500000,219749999,0.002952
chr1,219750000,219999999,0.003604
chr1,220000000,220249999,0.003228
chr1,220250000,220499999,0.00266
chr1,220500000,220749999,0.002756
chr1,220750000,220999999,0.002172
chr1,221000000,221249999,0.002164
chr1,221250000,221499999,0.003012
chr1,221500000,221749999,0.003116
chr1,221750000,221999999,0.002856
chr1,222000000,222249999,0.0053
chr1,222250000,222499999,0.00468
chr1,222500000,222749999,0.002484
chr1,222750000,222999999,0.003096
chr1,223000000,223249999,0.002852
chr1,223250000,223499999,0.003592
chr1,223500000,223749999,0.003092
chr1,223750000,223999999,0.002356
chr1,224000000,224249999,0.003144
chr1,224250000,224499999,0.002344
chr1,224500000,224749999,0.003452
chr1,224750000,224999999,0.00286
chr1,225000000,225249999,0.002812
chr1,225250000,225499999,0.004388
